Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassword	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1004_BHHR_USER1	Corina	Ahlm	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	00802	en_US	M	1985-12-01	1004	ET10	1004BQ401	1004BQ401	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5543	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2031	CPMO	Ada County			01	OPTED_IN	EV115	1a	incentiveId_1A	2031	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ401	abcd	Y	Y	E	2014-12-04	4001	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER2	Corine	Ahlman	#93456	OLD SHORE ROAD 2	arizona	AZ	OTHER	00802	en_US	M	1985-12-02	1004	ET10	1004BQ402	1004BQ402	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5544	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2032	CPMO	Ada County			01	OPTED_IN	EV115	1a_nohhr	incentiveId_1A_NOHHR	2032	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ402	abcd	Y	Y	E	2014-12-04	4002	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER3	Corinna	Ahlo	#93457	OLD SHORE ROAD 3	arizona	AZ	OTHER	00802	en_US	M	1985-12-03	1004	ET10	1004BQ403	1004BQ403	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5545	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2034	CPMO	Ada County			01	OPTED_IN	EV115	1b	incentiveId_1B	2034	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ403	abcd	Y	Y	E	2014-12-04	4003	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER4	Corinne	Ahlquist	#93458	OLD SHORE ROAD 4	arizona	AZ	OTHER	00802	en_US	M	1985-12-04	1004	ET10	1004BQ404	1004BQ404	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5546	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2035	CPMO	Ada County			01	OPTED_IN	EV115	1b_hhr	incentiveId_1B_HHR	2035	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ404	abcd	Y	Y	E	2014-12-04	4004	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER5	Corliss	Ahlstedt	#93459	OLD SHORE ROAD 5	arizona	AZ	OTHER	00802	en_US	M	1985-12-05	1004	ET10	1004BQ405	1004BQ405	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5547	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2040	CPMO	Ada County			01	OPTED_IN	EV115	1c	incentiveId_1C	2040	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ405	abcd	Y	Y	E	2014-12-04	4005	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER6	Cornelia	Ahlstrom	#93460	OLD SHORE ROAD 6	arizona	AZ	OTHER	00802	en_US	M	1985-12-06	1004	ET10	1004BQ406	1004BQ406	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5548	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2041	CPMO	Ada County			01	OPTED_IN	EV115	1c_hhr	incentiveId_1C_HHR	2041	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ406	abcd	Y	Y	E	2014-12-04	4006	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER7	Cornelius	Ahluwalia	#93461	OLD SHORE ROAD 7	arizona	AZ	OTHER	00802	en_US	M	1985-12-07	1004	ET10	1004BQ407	1004BQ407	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5549	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2042	CPMO	Ada County			01	OPTED_IN	EV115	2a	incentiveId_2A	2042	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ407	abcd	Y	Y	E	2014-12-04	4007	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER8	Cornell	Ahmad	#93462	OLD SHORE ROAD 8	arizona	AZ	OTHER	00802	en_US	M	1985-12-08	1004	ET10	1004BQ408	1004BQ408	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5550	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2043	CPMO	Ada County			01	OPTED_IN	EV115	2a_hhr	incentiveId_2A_HHR	2043	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ408	abcd	Y	Y	E	2014-12-04	4008	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER9	Corrie	Ahmadi	#93463	OLD SHORE ROAD 9	arizona	AZ	OTHER	00802	en_US	M	1985-12-09	1004	ET10	1004BQ409	1004BQ409	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5551	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2045	CPMO	Ada County			01	OPTED_IN	EV115	2b	incentiveId_2B	2045	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ409	abcd	Y	Y	E	2014-12-04	4009	CHRA1RNCHILD1Y	FTE	You Only
TEST_1004_BHHR_USER10	Corrin	Ahmann	#93464	OLD SHORE ROAD 10	arizona	AZ	OTHER	00802	en_US	M	1985-12-10	1004	ET10	1004BQ410	1004BQ410	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				SM91311	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	S5552	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABCD	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2046	CPMO	Ada County			01	OPTED_IN	EV115	2b_hhr	incentiveId_2B_HHR	2046	1970-07-31	PPO	Y	LUCK	LAN	4233	7744	101											2014-11-04	2014-11-04	abcd	FJUT	1004CQ410	abcd	Y	Y	E	2014-12-04	4010	CHRA1RNCHILD1Y	FTE	You Only
