Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassQPrd	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1027_GEN_USER1	Aaron	Abdin	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1998-01-01	1027	ET10	1027YD101	1027YD101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP13	QP2123			UH91001	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE451	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	LOCAL	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	LOCAL	1970-07-31	PPO	Y	LUCK	LAN	7813	5111	104											2014-11-04	2014-11-04	abcd	FJUT	1027YB234	abcd	Y	Y	E	2014-12-04	1721	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER2	Aaron	Abdo	#93456	OLD SHORE ROAD 2	arizona	AZ	OTHER	85001	en_US	F	1998-01-02	1027	ET10	1027YD102	1027YD101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP14	QP2124			UH91002	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE452	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KAISERSCAL	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	KAISERSCAL	1970-07-31	PPO	Y	LUCK	LAN	7814	5112	105											2014-11-04	2014-11-04	abcd	FJUT	1027YB235	abcd	Y	Y	E	2014-12-04	1722	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER3	Abbey	Abdon	#93457	OLD SHORE ROAD 3	arizona	AZ	OTHER	85001	en_US	M	1998-01-03	1027	ET10	1027YD103	1027YD103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP15	QP2125			UH91003	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE453	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KAISERGEO	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	KAISERGEO	1970-07-31	PPO	Y	LUCK	LAN	7815	5113	106											2014-11-04	2014-11-04	abcd	FJUT	1027YB236	abcd	Y	Y	E	2014-12-04	1723	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER4	Abbie	Abdool	#93458	OLD SHORE ROAD 4	arizona	AZ	OTHER	85001	en_US	F	1998-01-04	1027	ET10	1027YD104	1027YD103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP16	QP2126			UH91004	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE454	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KAISERDEN	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	KAISERDEN	1970-07-31	PPO	Y	LUCK	LAN	7816	5114	107											2014-11-04	2014-11-04	abcd	FJUT	1027YB237	abcd	Y	Y	E	2014-12-04	1724	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER5	Abby	Abdou	#93459	OLD SHORE ROAD 5	arizona	AZ	OTHER	85001	en_US	M	1998-01-05	1027	ET10	1027YD105	1027YD105	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP17	QP2127			UH91005	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE455	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	GLOBALNA	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	GLOBALNA	1970-07-31	PPO	Y	LUCK	LAN	7817	5151	101											2014-11-04	2014-11-04	abcd	FJUT	1027YB238	abcd	Y	Y	E	2014-12-04	1725	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER6	Abdul	Abdul	#93460	OLD SHORE ROAD 6	arizona	AZ	OTHER	85001	en_US	F	1998-01-06	1027	ET10	1027YD106	1027YD105	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP18	QP2128			UH91006	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE456	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	GLOBALEU	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	GLOBALEU	1970-07-31	PPO	Y	LUCK	LAN	7815	5111	109											2014-11-04	2014-11-04	abcd	FJUT	1027YB239	abcd	Y	Y	E	2014-12-04	1726	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER7	Abe	Abdula	#93461	OLD SHORE ROAD 7	arizona	AZ	OTHER	85001	en_US	M	1998-01-07	1027	ET10	1027YD107	1027YD107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP19	QP2129			UH91007	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE457	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA750	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	CIGNA750	1970-07-31	PPO	Y	LUCK	LAN	7819	5117	110											2014-11-04	2014-11-04	abcd	FJUT	1027YB240	abcd	Y	Y	E	2014-12-04	1727	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER8	Abel	Abdulaziz	#93462	OLD SHORE ROAD 8	arizona	AZ	OTHER	85001	en_US	F	1998-01-08	1027	ET10	1027YD108	1027YD107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP20	QP2130			UH91008	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE458	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA3000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	CIGNA3000	1970-07-31	PPO	Y	LUCK	LAN	7820	5118	111											2014-11-04	2014-11-04	abcd	FJUT	1027YB241	abcd	Y	Y	E	2014-12-04	1728	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER9	Abigail	Abdulkarim	#93463	OLD SHORE ROAD 9	arizona	AZ	OTHER	85001	en_US	M	1998-01-09	1027	ET10	1027YD109	1027YD109	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP21	QP2131			UH91009	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE459	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	CIGNA1400	1970-07-31	PPO	Y	LUCK	LAN	7821	5119	112											2014-11-04	2014-11-04	abcd	FJUT	1027YB242	abcd	Y	Y	E	2014-12-04	1729	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER10	Abraham	Abdulla	#93464	OLD SHORE ROAD 10	arizona	AZ	OTHER	85001	en_US	F	1998-01-10	1027	ET10	1027YD110	1027YD109	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP22	QP2132			UH91010	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE460	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Aetna750	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	Aetna750	1970-07-31	PPO	Y	LUCK	LAN	7822	5120	113											2014-11-04	2014-11-04	abcd	FJUT	1027YB243	abcd	Y	Y	E	2014-12-04	1737	CHRA1RNCHILD1Y	FTE	You Only
