Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassXQrd	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1028_CAMP_USER1	Aaron	Abdin	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1983-01-01	1028	ET10	1028CT101	1028CT101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ13	QZ2123			OL91001	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL951	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KRSCA500	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	KRSCA500	1970-07-31	PPO	Y	LUCK	LAN	9813	8888	504											2014-11-04	2014-11-04	abcd	FJUT	1028QZ234	abcd	Y	Y	E	2014-12-04	2221	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER2	Aaron	Abdo	#93456	OLD SHORE ROAD 2	arizona	AZ	OTHER	85001	en_US	F	1983-01-02	1028	ET10	1028CT102	1028CT101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ14	QZ2124			OL91002	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL952	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KRGA500	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	KRGA500	1970-07-31	PPO	Y	LUCK	LAN	9814	8882	509											2014-11-04	2014-11-04	abcd	FJUT	1028QZ235	abcd	Y	Y	E	2014-12-04	2222	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER3	Abbey	Abdon	#93457	OLD SHORE ROAD 3	arizona	AZ	OTHER	85001	en_US	M	1983-01-03	1028	ET10	1028CT103	1028CT103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ15	QZ2125			OL91003	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL953	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	ANTHEM500	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	ANTHEM500	1970-07-31	PPO	Y	LUCK	LAN	9819	8883	506											2014-11-04	2014-11-04	abcd	FJUT	1028QZ236	abcd	Y	Y	E	2014-12-04	2223	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER4	Abbie	Abdool	#93458	OLD SHORE ROAD 4	arizona	AZ	OTHER	85001	en_US	F	1983-01-04	1028	ET10	1028CT104	1028CT103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ16	QZ2126			OL91004	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL954	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	ANTHEM1400	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	ANTHEM1400	1970-07-31	PPO	Y	LUCK	LAN	9816	8884	502											2014-11-04	2014-11-04	abcd	FJUT	1028QZ237	abcd	Y	Y	E	2014-12-04	2224	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER5	Abby	Abdou	#93459	OLD SHORE ROAD 5	arizona	AZ	OTHER	85001	en_US	M	1983-01-05	1028	ET10	1028CT105	1028CT105	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ17	QZ2127			OL91005	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL955	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA500HP	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	AETNA500HP	1970-07-31	PPO	Y	LUCK	LAN	9812	8888	505											2014-11-04	2014-11-04	abcd	FJUT	1028QZ238	abcd	Y	Y	E	2014-12-04	2225	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER6	Abdul	Abdul	#93460	OLD SHORE ROAD 6	arizona	AZ	OTHER	85001	en_US	F	1983-01-06	1028	ET10	1028CT106	1028CT105	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ18	QZ2128			OL91006	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL956	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA500	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	AETNA500	1970-07-31	PPO	Y	LUCK	LAN	9819	8888	509											2014-11-04	2014-11-04	abcd	FJUT	1028QZ239	abcd	Y	Y	E	2014-12-04	2226	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER7	Abe	Abdula	#93461	OLD SHORE ROAD 7	arizona	AZ	OTHER	85001	en_US	M	1983-01-07	1028	ET10	1028CT107	1028CT107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ19	QZ2129			OL91007	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL957	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	AETNA1400	1970-07-31	PPO	Y	LUCK	LAN	9819	8882	550											2014-11-04	2014-11-04	abcd	FJUT	1028QZ240	abcd	Y	Y	E	2014-12-04	2227	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER8	Abel	Abdulaziz	#93462	OLD SHORE ROAD 8	arizona	AZ	OTHER	85001	en_US	F	1983-01-08	1028	ET10	1028CT108	1028CT107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ20	QZ2130			OL91008	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL958	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KRSCA500	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	KRSCA500	1970-07-31	PPO	Y	LUCK	LAN	9898	8888	555											2014-11-04	2014-11-04	abcd	FJUT	1028QZ241	abcd	Y	Y	E	2014-12-04	2228	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER9	Abigail	Abdulkarim	#93463	OLD SHORE ROAD 9	arizona	AZ	OTHER	85001	en_US	M	1983-01-09	1028	ET10	1028CT109	1028CT109	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ21	QZ2131			OL91009	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL959	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KRGA500	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	KRGA500	1970-07-31	PPO	Y	LUCK	LAN	9821	8889	552											2014-11-04	2014-11-04	abcd	FJUT	1028QZ242	abcd	Y	Y	E	2014-12-04	2229	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_CAMP_USER10	Abraham	Abdulla	#93464	OLD SHORE ROAD 10	arizona	AZ	OTHER	85001	en_US	F	1983-01-10	1028	ET10	1028CT110	1028CT109	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	XQ22	QZ2132			OL91010	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QL960	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	ANTHEM500	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	ANTHEM500	1970-07-31	PPO	Y	LUCK	LAN	9822	8820	553											2014-11-04	2014-11-04	abcd	FJUT	1028QZ243	abcd	Y	Y	E	2014-12-04	2237	CHRA1RNCHILD1Y	FTE	You Only
