campaignsUsername	blacklisted	lastlogin	passwordsalt	password	registration_date	role	Upin
test1028campuser1@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER1
test1028campuser2@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER2
test1028campuser3@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER3
test1028campuser4@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER4
test1028campuser5@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER5
test1028campuser6@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER6
test1028campuser7@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER7
test1028campuser8@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER8
test1028campuser9@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER9
test1028campuser10@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER10
test1028campuser11@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER11
test1028campuser12@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER12
test1028campuser13@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER13
test1028campuser14@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1028_CAMP_USER14
