Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassQXrd	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1028_GEN_USER1	Aaron	Abdin	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1981-01-01	1028	ET10	1028BT101	1028BT101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX13	HB2123			OP91001	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB451	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KRSCA500	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	KRSCA500	1970-07-31	PPO	Y	LUCK	LAN	2013	9888	704											2014-11-04	2014-11-04	abcd	FJUT	1028KL234	abcd	Y	Y	E	2014-12-04	3121	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER2	Aaron	Abdo	#93456	OLD SHORE ROAD 2	arizona	AZ	OTHER	85001	en_US	F	1981-01-02	1028	ET10	1028BT102	1028BT101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX14	HB2124			OP91002	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB452	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KRGA500	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	KRGA500	1970-07-31	PPO	Y	LUCK	LAN	2014	9882	709											2014-11-04	2014-11-04	abcd	FJUT	1028KL235	abcd	Y	Y	E	2014-12-04	3122	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER3	Abbey	Abdon	#93457	OLD SHORE ROAD 3	arizona	AZ	OTHER	85001	en_US	M	1981-01-03	1028	ET10	1028BT103	1028BT103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX15	HB2125			OP91003	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB453	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	ANTHEM500	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	ANTHEM500	1970-07-31	PPO	Y	LUCK	LAN	2019	9883	706											2014-11-04	2014-11-04	abcd	FJUT	1028KL236	abcd	Y	Y	E	2014-12-04	3123	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER4	Abbie	Abdool	#93458	OLD SHORE ROAD 4	arizona	AZ	OTHER	85001	en_US	F	1981-01-04	1028	ET10	1028BT104	1028BT103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX16	HB2126			OP91004	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB454	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	ANTHEM1400	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	ANTHEM1400	1970-07-31	PPO	Y	LUCK	LAN	2016	9884	702											2014-11-04	2014-11-04	abcd	FJUT	1028KL237	abcd	Y	Y	E	2014-12-04	3124	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER5	Abby	Abdou	#93459	OLD SHORE ROAD 5	arizona	AZ	OTHER	85001	en_US	M	1981-01-05	1028	ET10	1028BT105	1028BT105	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX17	HB2127			OP91005	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB455	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA500HP	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	AETNA500HP	1970-07-31	PPO	Y	LUCK	LAN	2012	9898	707											2014-11-04	2014-11-04	abcd	FJUT	1028KL238	abcd	Y	Y	E	2014-12-04	3125	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER6	Abdul	Abdul	#93460	OLD SHORE ROAD 6	arizona	AZ	OTHER	85001	en_US	F	1981-01-06	1028	ET10	1028BT106	1028BT105	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX18	HB2128			OP91006	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB456	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA500	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	AETNA500	1970-07-31	PPO	Y	LUCK	LAN	2019	9888	709											2014-11-04	2014-11-04	abcd	FJUT	1028KL239	abcd	Y	Y	E	2014-12-04	3126	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER7	Abe	Abdula	#93461	OLD SHORE ROAD 7	arizona	AZ	OTHER	85001	en_US	M	1981-01-07	1028	ET10	1028BT107	1028BT107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX19	HB2129			OP91007	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB457	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	AETNA1400	1970-07-31	PPO	Y	LUCK	LAN	2019	9882	770											2014-11-04	2014-11-04	abcd	FJUT	1028KL240	abcd	Y	Y	E	2014-12-04	3127	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER8	Abel	Abdulaziz	#93462	OLD SHORE ROAD 8	arizona	AZ	OTHER	85001	en_US	F	1981-01-08	1028	ET10	1028BT108	1028BT107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX20	HB2130			OP91008	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB458	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KRSCA500	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	KRSCA500	1970-07-31	PPO	Y	LUCK	LAN	2020	9888	777											2014-11-04	2014-11-04	abcd	FJUT	1028KL241	abcd	Y	Y	E	2014-12-04	3128	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER9	Abigail	Abdulkarim	#93463	OLD SHORE ROAD 9	arizona	AZ	OTHER	85001	en_US	M	1981-01-09	1028	ET10	1028BT109	1028BT109	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX21	HB2131			OP91009	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB459	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KRGA500	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	KRGA500	1970-07-31	PPO	Y	LUCK	LAN	2021	9889	772											2014-11-04	2014-11-04	abcd	FJUT	1028KL242	abcd	Y	Y	E	2014-12-04	3129	CHRA1RNCHILD1Y	FTE	You Only
TEST_1028_GEN_USER10	Abraham	Abdulla	#93464	OLD SHORE ROAD 10	arizona	AZ	OTHER	85001	en_US	F	1981-01-10	1028	ET10	1028BT110	1028BT109	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QX22	HB2132			OP91010	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	AB460	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	ANTHEM500	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	ANTHEM500	1970-07-31	PPO	Y	LUCK	LAN	2022	9820	773											2014-11-04	2014-11-04	abcd	FJUT	1028KL243	abcd	Y	Y	E	2014-12-04	3137	CHRA1RNCHILD1Y	FTE	You Only
