Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassword	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1029_IM_USER101	Clarence	Russell	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1995-11-01	1029	ET10	1029TR101	1029TR101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE254				YH1760	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH599	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthSavers	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	HealthSavers	1970-07-31	PPO	Y	LUCK	LAN	2011	4113	651											2014-11-04	2014-11-04	abcd	FJUT	1029WT101	abcd	Y	Y	E	2014-12-04	1201	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER102	Paul	Bishop	#93456	OLD SHORE ROAD 2	arizona	AZ	OTHER	85001	en_US	F	1995-11-02	1029	ET10	1029TR102	1029TR102	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE255				YH1761	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH600	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthCore	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	HealthCore	1970-07-31	PPO	Y	LUCK	LAN	2012	4114	652											2014-11-04	2014-11-04	abcd	FJUT	1029WT102	abcd	Y	Y	E	2014-12-04	1202	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER103	Billy	Harvey	#93457	OLD SHORE ROAD 3	arizona	AZ	OTHER	85001	en_US	M	1995-11-03	1029	ET10	1029TR103	1029TR103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE256				YH1762	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH601	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthSelectPlus	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	HealthSelectPlus	1970-07-31	PPO	Y	LUCK	LAN	2013	4115	653											2014-11-04	2014-11-04	abcd	FJUT	1029WT103	abcd	Y	Y	E	2014-12-04	1203	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER104	Peter	Reed	#93458	OLD SHORE ROAD 4	arizona	AZ	OTHER	85001	en_US	F	1995-11-04	1029	ET10	1029TR104	1029TR101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE257				YH1763	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH602	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthSavers	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	HealthSavers	1970-07-31	PPO	Y	LUCK	LAN	2014	4116	654											2014-11-04	2014-11-04	abcd	FJUT	1029WT104	abcd	Y	Y	E	2014-12-04	1204	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER105	Ralph	Cook	#93459	OLD SHORE ROAD 5	arizona	AZ	OTHER	85001	en_US	M	1995-11-05	1029	ET10	1029TR105	1029TR102	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE258				YH1764	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH603	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthCore	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	HealthCore	1970-07-31	PPO	Y	LUCK	LAN	2015	4117	655											2014-11-04	2014-11-04	abcd	FJUT	1029WT105	abcd	Y	Y	E	2014-12-04	1205	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER106	Phillip	Sims	#93460	OLD SHORE ROAD 6	arizona	AZ	OTHER	85001	en_US	F	1995-11-06	1029	ET10	1029TR106	1029TR103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE259				YH1765	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH604	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthSelectPlus	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	HealthSelectPlus	1970-07-31	PPO	Y	LUCK	LAN	2016	4118	656											2014-11-04	2014-11-04	abcd	FJUT	1029WT106	abcd	Y	Y	E	2014-12-04	1206	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER107	Clarence	Russell	#93461	OLD SHORE ROAD 7	arizona	AZ	OTHER	85001	en_US	M	1995-11-07	1029	ET10	1029TR107	1029TR107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE260				YH1766	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH605	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Kaiser NCA - HMO	CPMO	Ada County			01	OPTED_IN	EV115	role3	incentiveId_ROLE3	Kaiser NCA - HMO	1970-07-31	PPO	Y	LUCK	LAN	2017	4119	657											2014-11-04	2014-11-04	abcd	FJUT	1029WT107	abcd	Y	Y	E	2014-12-04	1207	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER108	Paul	Bishop	#93462	OLD SHORE ROAD 8	arizona	AZ	OTHER	85001	en_US	F	1995-11-08	1029	ET10	1029TR108	1029TR108	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE261				YH1767	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH606	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Kaiser SCA - HMO	CPMO	Ada County			01	OPTED_IN	EV115	role3	incentiveId_ROLE3	Kaiser SCA - HMO	1970-07-31	PPO	Y	LUCK	LAN	2018	4120	658											2014-11-04	2014-11-04	abcd	FJUT	1029WT108	abcd	Y	Y	E	2014-12-04	1208	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER109	Billy	Harvey	#93463	OLD SHORE ROAD 9	arizona	AZ	OTHER	85001	en_US	F	1995-11-09	1029	ET10	1029TR109	1029TR107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE262				YH1768	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH607	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Kaiser NCA - HMO	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	Kaiser NCA - HMO	1970-07-31	PPO	Y	LUCK	LAN	2019	4121	659											2014-11-04	2014-11-04	abcd	FJUT	1029WT109	abcd	Y	Y	E	2014-12-04	1209	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER110	Peter	Reed	#93464	OLD SHORE ROAD 10	arizona	AZ	OTHER	85001	en_US	M	1995-11-10	1029	ET10	1029TR110	1029TR108	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE263				YH1769	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH608	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Kaiser SCA - HMO	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	Kaiser SCA - HMO	1970-07-31	PPO	Y	LUCK	LAN	2020	4122	660											2014-11-04	2014-11-04	abcd	FJUT	1029WT110	abcd	Y	Y	E	2014-12-04	1210	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER111	Ralph	Cook	#93465	OLD SHORE ROAD 11	arizona	AZ	OTHER	85001	en_US	M	1995-11-11	1029	ET10	1029TR111	1029TR111	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE264				YH1770	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH609	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	BCBS HMSA	CPMO	Ada County			01	OPTED_IN	EV115	role5	incentiveId_ROLE5	BCBS HMSA	1970-07-31	PPO	Y	LUCK	LAN	2021	4123	661											2014-11-04	2014-11-04	abcd	FJUT	1029WT111	abcd	Y	Y	E	2014-12-04	1211	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_IM_USER112	Phillip	Sims	#93466	OLD SHORE ROAD 12	arizona	AZ	OTHER	85001	en_US	F	1995-11-12	1029	ET10	1029TR112	1029TR112	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE265				YH1771	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH610	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	BCBS HMSA	CPMO	Ada County			01	OPTED_IN	EV115	role5	incentiveId_ROLE5	BCBS HMSA	1970-07-31	PPO	Y	LUCK	LAN	2022	4124	662											2014-11-04	2014-11-04	abcd	FJUT	1029WT112	abcd	Y	Y	E	2014-12-04	1212	CHRA1RNCHILD1Y	FTE	You Only
