Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassword	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1029_BQ_USER101	Billy	Harvey	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1995-12-01	1029	ET10	1029TM101	1029TM101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE209				YH1041	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH551	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthSavers	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	HealthSavers	1970-07-31	PPO	Y	LUCK	LAN	2040	4021	761											2014-11-04	2014-11-04	abcd	FJUT	1029TW101	abcd	Y	Y	E	2014-12-04	1051	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER102	Peter	Reed	#93456	OLD SHORE ROAD 2	arizona	AZ	OTHER	85001	en_US	F	1995-12-02	1029	ET10	1029TM102	1029TM102	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE210				YH1042	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH552	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthCore	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	HealthCore	1970-07-31	PPO	Y	LUCK	LAN	2041	4022	762											2014-11-04	2014-11-04	abcd	FJUT	1029TW102	abcd	Y	Y	E	2014-12-04	1052	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER103	Ralph	Cook	#93457	OLD SHORE ROAD 3	arizona	AZ	OTHER	85001	en_US	M	1995-12-03	1029	ET10	1029TM103	1029TM103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE211				YH1043	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH553	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthSelectPlus	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	HealthSelectPlus	1970-07-31	PPO	Y	LUCK	LAN	2042	4023	763											2014-11-04	2014-11-04	abcd	FJUT	1029TW103	abcd	Y	Y	E	2014-12-04	1053	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER104	Phillip	Sims	#93458	OLD SHORE ROAD 4	arizona	AZ	OTHER	85001	en_US	F	1995-12-04	1029	ET10	1029TM104	1029TM101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE212				YH1044	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH554	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthSavers	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	HealthSavers	1970-07-31	PPO	Y	LUCK	LAN	2043	4024	764											2014-11-04	2014-11-04	abcd	FJUT	1029TW104	abcd	Y	Y	E	2014-12-04	1054	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER105	Clarence	Russell	#93459	OLD SHORE ROAD 5	arizona	AZ	OTHER	85001	en_US	M	1995-12-05	1029	ET10	1029TM105	1029TM102	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE213				YH1045	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH555	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthCore	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	HealthCore	1970-07-31	PPO	Y	LUCK	LAN	2044	4025	765											2014-11-04	2014-11-04	abcd	FJUT	1029TW105	abcd	Y	Y	E	2014-12-04	1055	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER106	Paul	Bishop	#93460	OLD SHORE ROAD 6	arizona	AZ	OTHER	85001	en_US	F	1995-12-06	1029	ET10	1029TM106	1029TM103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE214				YH1046	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH556	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	HealthSelectPlus	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	HealthSelectPlus	1970-07-31	PPO	Y	LUCK	LAN	2045	4026	766											2014-11-04	2014-11-04	abcd	FJUT	1029TW106	abcd	Y	Y	E	2014-12-04	1056	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER107	Billy	Harvey	#93461	OLD SHORE ROAD 7	arizona	AZ	OTHER	85001	en_US	M	1995-12-07	1029	ET10	1029TM107	1029TM107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE215				YH1047	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH557	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Kaiser NCA - HMO	CPMO	Ada County			01	OPTED_IN	EV115	role3	incentiveId_ROLE3	Kaiser NCA - HMO	1970-07-31	PPO	Y	LUCK	LAN	2046	4027	767											2014-11-04	2014-11-04	abcd	FJUT	1029TW107	abcd	Y	Y	E	2014-12-04	1057	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER108	Peter	Reed	#93462	OLD SHORE ROAD 8	arizona	AZ	OTHER	85001	en_US	F	1995-12-08	1029	ET10	1029TM108	1029TM108	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE216				YH1048	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH558	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Kaiser SCA - HMO	CPMO	Ada County			01	OPTED_IN	EV115	role3	incentiveId_ROLE3	Kaiser SCA - HMO	1970-07-31	PPO	Y	LUCK	LAN	2047	4028	768											2014-11-04	2014-11-04	abcd	FJUT	1029TW108	abcd	Y	Y	E	2014-12-04	1058	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER109	Ralph	Cook	#93463	OLD SHORE ROAD 9	arizona	AZ	OTHER	85001	en_US	F	1995-12-09	1029	ET10	1029TM109	1029TM107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE217				YH1049	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH559	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Kaiser NCA - HMO	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	Kaiser NCA - HMO	1970-07-31	PPO	Y	LUCK	LAN	2048	4029	769											2014-11-04	2014-11-04	abcd	FJUT	1029TW109	abcd	Y	Y	E	2014-12-04	1059	CHRA1RNCHILD1Y	FTE	You Only
TEST_1029_BQ_USER110	Phillip	Sims	#93464	OLD SHORE ROAD 10	arizona	AZ	OTHER	85001	en_US	M	1995-12-10	1029	ET10	1029TM110	1029TM108	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	WE218				YH1050	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	YH560	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Kaiser SCA - HMO	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	Kaiser SCA - HMO	1970-07-31	PPO	Y	LUCK	LAN	2049	4030	770											2014-11-04	2014-11-04	abcd	FJUT	1029TW110	abcd	Y	Y	E	2014-12-04	1060	CHRA1RNCHILD1Y	FTE	You Only
