Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassSArd	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1033_CAMP_USER1	Aaron	Abdin	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1997-01-01	1033	ET10	1033BT101	1033BT101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA13	SA2123			SH91001	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB451	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER1	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2813	9111	104											2014-11-04	2014-11-04	abcd	FJUT	1033KL234	abcd	Y	Y	E	2014-12-04	3542	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER2	Aaron	Abdo	#93456	OLD SHORE ROAD 2	arizona	AZ	OTHER	85001	en_US	F	1997-01-02	1033	ET10	1033BT102	1033BT101	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA14	SA2124			SH91002	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB452	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER2	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA1400HP	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2814	9112	109											2014-11-04	2014-11-04	abcd	FJUT	1033KL235	abcd	Y	Y	E	2014-12-04	3543	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER3	Abbey	Abdon	#93457	OLD SHORE ROAD 3	arizona	AZ	OTHER	85001	en_US	M	1997-01-03	1033	ET10	1033BT103	1033BT103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA15	SA2125			SH91003	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB453	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER3	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2819	9113	106											2014-11-04	2014-11-04	abcd	FJUT	1033KL236	abcd	Y	Y	E	2014-12-04	3544	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER4	Abbie	Abdool	#93458	OLD SHORE ROAD 4	arizona	AZ	OTHER	85001	en_US	F	1997-01-04	1033	ET10	1033BT104	1033BT103	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA16	SA2126			SH91004	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB454	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER4	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA1400HP	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2816	9114	102											2014-11-04	2014-11-04	abcd	FJUT	1033KL237	abcd	Y	Y	E	2014-12-04	3545	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER5	Abby	Abdou	#93459	OLD SHORE ROAD 5	arizona	AZ	OTHER	85001	en_US	M	1997-01-05	1033	ET10	1033BT105	1033BT105	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA17	SA2127			SH91005	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB455	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER5	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	BCBSMN1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2812	9191	101											2014-11-04	2014-11-04	abcd	FJUT	1033KL238	abcd	Y	Y	E	2014-12-04	3546	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER6	Abdul	Abdul	#93460	OLD SHORE ROAD 6	arizona	AZ	OTHER	85001	en_US	F	1997-01-06	1033	ET10	1033BT106	1033BT105	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA18	SA2128			SH91006	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB456	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER6	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA2000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2819	9111	109											2014-11-04	2014-11-04	abcd	FJUT	1033KL239	abcd	Y	Y	E	2014-12-04	3547	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER7	Abe	Abdula	#93461	OLD SHORE ROAD 7	arizona	AZ	OTHER	85001	en_US	M	1997-01-07	1033	ET10	1033BT107	1033BT107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA19	SA2129			SH91007	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB457	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER7	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA2000HP	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2819	9112	110											2014-11-04	2014-11-04	abcd	FJUT	1033KL240	abcd	Y	Y	E	2014-12-04	3548	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER8	Abel	Abdulaziz	#93462	OLD SHORE ROAD 8	arizona	AZ	OTHER	85001	en_US	F	1997-01-08	1033	ET10	1033BT108	1033BT107	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA20	SA2130			SH91008	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB458	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER8	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA2000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2820	9118	111											2014-11-04	2014-11-04	abcd	FJUT	1033KL241	abcd	Y	Y	E	2014-12-04	3549	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER9	Abigail	Abdulkarim	#93463	OLD SHORE ROAD 9	arizona	AZ	OTHER	85001	en_US	M	1997-01-09	1033	ET10	1033BT109	1033BT109	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA21	SA2131			SH91009	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB459	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER9	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA2000HP	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2821	9119	112											2014-11-04	2014-11-04	abcd	FJUT	1033KL242	abcd	Y	Y	E	2014-12-04	3550	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER10	Abraham	Abdulla	#93464	OLD SHORE ROAD 10	arizona	AZ	OTHER	85001	en_US	F	1997-01-10	1033	ET10	1033BT110	1033BT109	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA22	SA2132			SH91010	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB460	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER10	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	BCBSMN2000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2822	9120	113											2014-11-04	2014-11-04	abcd	FJUT	1033KL243	abcd	Y	Y	E	2014-12-04	3551	CHRA1RNCHILD1Y	FTE	You Only
