Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	RelationShipCode	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassword	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1037_BIM_USER101	Laurene	Bergfield	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1991-10-01	1037	ET10	1037FE101	1037FE101	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT500				LG91000	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW211	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	1	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	1	1970-07-31	PPO	Y	LUCK	LAN	3101	3109	333											2014-11-04	2014-11-04	abcd	FJUT	1037YH101	abcd	Y	Y	E	2014-12-04	1701	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER102	Lauretta	Berggren	#93456	OLD SHORE ROAD 2	arizona	AZ	OTHER	85001	en_US	F	1991-10-02	1037	ET10	1037FE102	1037FE102	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT501				LG91001	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW212	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	3	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	3	1970-07-31	PPO	Y	LUCK	LAN	3102	3110	334											2014-11-04	2014-11-04	abcd	FJUT	1037YH102	abcd	Y	Y	E	2014-12-04	1702	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER103	Laurette	Bergh	#93457	OLD SHORE ROAD 3	arizona	AZ	OTHER	85001	en_US	M	1991-10-03	1037	ET10	1037FE103	1037FE103	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT502				LG91002	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW213	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2110	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	2110	1970-07-31	PPO	Y	LUCK	LAN	3103	3111	335											2014-11-04	2014-11-04	abcd	FJUT	1037YH103	abcd	Y	Y	E	2014-12-04	1703	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER104	Lauri	Bergholm	#93458	OLD SHORE ROAD 4	arizona	AZ	OTHER	85001	en_US	F	1991-10-04	1037	ET10	1037FE104	1037FE104	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT503				LG91003	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW214	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2160	CPMO	Ada County			01	OPTED_IN	EV115	role1	incentiveId_ROLE1	2160	1970-07-31	PPO	Y	LUCK	LAN	3104	3112	336											2014-11-04	2014-11-04	abcd	FJUT	1037YH104	abcd	Y	Y	E	2014-12-04	1704	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER105	Laurice	Bergholz	#93459	OLD SHORE ROAD 5	arizona	AZ	OTHER	85001	en_US	M	1991-10-05	1037	ET10	1037FE105	1037FE101	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT504				LG91004	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW215	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	1	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	1	1970-07-31	PPO	Y	LUCK	LAN	3105	3113	337											2014-11-04	2014-11-04	abcd	FJUT	1037YH105	abcd	Y	Y	E	2014-12-04	1705	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER106	Laurie	Bergin	#93460	OLD SHORE ROAD 6	arizona	AZ	OTHER	85001	en_US	F	1991-10-06	1037	ET10	1037FE106	1037FE102	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT505				LG91005	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW216	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	3	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	3	1970-07-31	PPO	Y	LUCK	LAN	3106	3114	338											2014-11-04	2014-11-04	abcd	FJUT	1037YH106	abcd	Y	Y	E	2014-12-04	1706	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER107	Laurinda	Bergland	#93461	OLD SHORE ROAD 7	arizona	AZ	OTHER	85001	en_US	M	1991-10-07	1037	ET10	1037FE107	1037FE103	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT506				LG91006	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW217	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2110	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	2110	1970-07-31	PPO	Y	LUCK	LAN	3107	3115	339											2014-11-04	2014-11-04	abcd	FJUT	1037YH107	abcd	Y	Y	E	2014-12-04	1707	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER108	Laurine	Berglund	#93462	OLD SHORE ROAD 8	arizona	AZ	OTHER	85001	en_US	F	1991-10-08	1037	ET10	1037FE108	1037FE104	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT507				LG91007	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW218	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2160	CPMO	Ada County			02	OPTED_IN	EV115	role2	incentiveId_ROLE2	2160	1970-07-31	PPO	Y	LUCK	LAN	3108	3116	340											2014-11-04	2014-11-04	abcd	FJUT	1037YH108	abcd	Y	Y	E	2014-12-04	1708	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER109	Lauryn	Bergman	#93463	OLD SHORE ROAD 9	arizona	AZ	OTHER	85001	en_US	M	1991-10-09	1037	ET10	1037FE109	1037FE109	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT508				LG91008	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW219	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2114	CPMO	Ada County			01	OPTED_IN	EV115	role3	incentiveId_ROLE3	2114	1970-07-31	PPO	Y	LUCK	LAN	3109	3117	341											2014-11-04	2014-11-04	abcd	FJUT	1037YH109	abcd	Y	Y	E	2014-12-04	1709	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER110	Lavada	Bergmann	#93464	OLD SHORE ROAD 10	arizona	AZ	OTHER	85001	en_US	F	1991-10-10	1037	ET10	1037FE110	1037FE110	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT509				LG91009	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW220	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2116	CPMO	Ada County			01	OPTED_IN	EV115	role3	incentiveId_ROLE3	2116	1970-07-31	PPO	Y	LUCK	LAN	3110	3118	342											2014-11-04	2014-11-04	abcd	FJUT	1037YH110	abcd	Y	Y	E	2014-12-04	1710	CHRA1RNCHILD1Y	FTE	You Only
